"regional";"endereco";"bairro";"localidade";"descricao";"latitude";"longitude"
"Sul";"Rua 4 TRAV, IRAKITANN 10";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136582";"-34.940752"
"Sul";"Rua 4 TRAV, IRAKITANN 539A";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136682";"-34.940689"
"Sul";"Rua 4 TRAV, IRAKITANN 535A";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136664";"-34.940580"
"Sul";"Rua 4 TRAV, IRAKITANN 532";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136692";"-34.940544"
"Sul";"Rua 4 TRAV, IRAKITANN 525";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136592";"-34.940507"
"Sul";"Rua 4 TRAV, IRAKITANN 521";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136783";"-34.940372"
"Sul";"Rua 4 TRAV, IRAKITANN 535B";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136890";"-34.940581"
"Sul";"Rua 4 TRAV, IRAKITANN 520";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136756";"-34.940381"
"Sul";"Rua 4 TRAV, IRAKITANN 513";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136755";"-34.940435"
"Sul";"Rua 4 TRAV, IRAKITANN EM FRENTE A 539";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136847";"-34.940263"
"Sul";"Rua 2 TRAV, BONERGES PEREIRAN 539 EM FRENTE";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136329";"-34.940751"
"Sul";"Rua 2 TRAV, BONERGES PEREIRAN 539";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136347";"-34.940805"
"Sul";"Rua 2 TRAV, BONERGES PEREIRAN 539 457";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136356";"-34.940814"
"Sul";"Rua 2 TRAV, BONERGES PEREIRAN 539 541";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136374";"-34.940869"
"Sul";"AV, DONA CARENTINA N 685 AB";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.135425";"-34.938904"
"Sul";"AV, DONA CARENTINA N 686";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.135479";"-34.938914"
"Sul";"AV, DONA CARENTINA N 687";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.135506";"-34.938887"
"Sul";"AV, DONA CARENTINA N 688";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.135651";"-34.938887"
"Sul";"AV, DONA CARENTINA N 689";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.135579";"-34.938896"
"Sul";"AV, DONA CARENTINA N 683";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.134756";"-34.938901"
"Sul";"2 TRAV, DONA CARENTINA S/N";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.135723";"-34.938997"
"Sul";"2 TRAV, DONA CARENTINA N 681";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.135840";"-34.939015"
"Sul";"2 TRAV, DONA CARENTINA N S/N";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.135913";"-34.939007"
"Sul";"2 TRAV, DONA CARENTINA N 681A";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.135994";"-34.939007"
"Sul";"2 TRAV, DONA CARENTINA N 687";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136093";"-34.938998"
"Sul";"2 TRAV, DONA CARENTINA N 691";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136148";"-34.939017"
"Sul";"2 TRAV, DONA CARENTINA N 695B";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136193";"-34.939044"
"Sul";"2 TRAV, DONA CARENTINA N 692";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136292";"-34.939108"
"Sul";"2 TRAV, DONA CARENTINA N S/N";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136328";"-34.939000"
"Sul";"2 TRAV, DONA CARENTINA N 697";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136374";"-34.939018"
"Sul";"2 TRAV, DONA CARENTINA N S/N";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136356";"-34.938963"
"Sul";"2 TRAV, DONA CARENTINA N 701";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136374";"-34.938954"
"Sul";"2 TRAV, DONA CARENTINA N S/N";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136383";"-34.938936"
